OriginName,DestinationName,RecordedAtTime,VehicleLocation_Latitude,VehicleLocation_Longitude
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:14:34,40.682193,-73.766907
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:24:04,40.696514,-73.783502
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:23:52,40.6779,-73.74588
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:34:38,40.698513,-73.787161
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:34:43,40.680117,-73.753864
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:34:16,40.674105,-73.729397
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:43:39,40.683794,-73.769916
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:43:44,40.673673,-73.73219
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:43:54,40.701639,-73.790435
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:54:16,40.677718,-73.745342
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:54:29,40.681482,-73.765424
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:54:41,40.703222,-73.796327
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:03:47,40.670503,-73.728447
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:03:38,40.677593,-73.744974
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:03:47,40.691852,-73.779441
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:14:43,40.670768,-73.728355
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:14:25,40.704209,-73.792686
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:14:30,40.679432,-73.757369
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:23:59,40.690149,-73.778158
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:24:03,40.674044,-73.729859
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:23:59,40.702343,-73.800451
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:34:05,40.679339,-73.750497
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:34:19,40.697562,-73.785076
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:44:40,40.673926,-73.73061
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:44:39,40.683771,-73.769873
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:54:30,40.70057,-73.789376
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:54:43,40.665914,-73.735934
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 12:54:29,40.678878,-73.749029
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:04:45,40.700042,-73.788836
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:04:33,40.683817,-73.769959
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:04:31,40.674122,-73.729042
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:14:49,40.682235,-73.766996
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:14:46,40.6779,-73.74588
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:14:41,40.696809,-73.783919
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:23:51,40.677855,-73.745745
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:23:50,40.673645,-73.732367
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:24:13,40.679897,-73.762102
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:23:50,40.704088,-73.79367
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:34:27,40.67413,-73.728866
